Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
55,55,1998-02-26,,MIL,W,102,90,39,74,.527,7,17,.412,17,21,.810,6,27,27,13,2,11,22,,34,71,.479,3,10,.300,19,21,.905,12,40,18,5,2,18,20
56,56,1998-03-01,,LAL,W,101,89,32,71,.451,6,13,.462,31,37,.838,9,39,20,8,0,10,25,,30,73,.411,4,14,.286,25,34,.735,11,38,14,5,2,16,28
57,57,1998-03-03,,NJN,W,94,91,35,80,.438,4,16,.250,20,22,.909,13,45,25,6,4,11,29,,33,74,.446,1,10,.100,24,34,.706,10,37,21,8,2,10,19
58,58,1998-03-05,@,WAS,L,90,103,31,74,.419,4,15,.267,24,28,.857,15,41,16,7,2,16,25,,40,85,.471,5,19,.263,18,25,.720,12,39,21,10,1,11,20
59,59,1998-03-06,@,PHI,L,71,80,31,73,.425,5,20,.250,4,7,.571,7,35,20,5,4,14,29,,28,70,.400,1,8,.125,23,30,.767,12,45,19,8,7,12,17
60,60,1998-03-08,,CHI,L,89,102,38,76,.500,5,15,.333,8,16,.500,6,33,24,3,1,12,17,,41,89,.461,8,15,.533,12,18,.667,17,48,22,6,2,8,16
61,61,1998-03-10,,ORL,W,85,78,34,78,.436,5,17,.294,12,15,.800,13,49,21,10,1,12,15,,30,78,.385,5,17,.294,13,19,.684,13,40,16,4,1,11,15
62,62,1998-03-11,@,CHH,L,78,85,29,83,.349,3,17,.176,17,17,1.000,12,47,19,8,2,11,24,,31,76,.408,5,11,.455,18,27,.667,10,45,21,4,6,10,18
63,63,1998-03-14,@,CLE,L,85,88,31,86,.360,5,16,.313,18,21,.857,16,43,18,8,6,13,30,,32,68,.471,4,8,.500,20,29,.690,4,39,23,8,5,17,23
64,64,1998-03-15,,IND,L,86,91,34,80,.425,5,15,.333,13,18,.722,9,38,22,5,3,7,14,,34,68,.500,9,18,.500,14,17,.824,5,34,22,4,6,12,20
65,65,1998-03-17,,PHI,W,100,96,38,72,.528,4,10,.400,20,23,.870,9,45,28,8,2,21,27,,31,78,.397,5,18,.278,29,39,.744,11,35,20,14,1,12,22
66,66,1998-03-19,,POR,L,77,82,30,78,.385,5,15,.333,12,13,.923,10,34,20,7,3,11,20,,31,65,.477,3,12,.250,17,23,.739,10,45,19,2,3,20,17
67,67,1998-03-20,,ATL,W,109,108,47,85,.553,5,12,.417,10,15,.667,17,36,35,5,4,7,28,,36,67,.537,4,10,.400,32,39,.821,13,31,17,3,3,8,17
68,68,1998-03-22,,UTA,L,119,124,45,91,.495,6,17,.353,23,33,.697,14,39,28,13,1,15,34,,45,79,.570,7,12,.583,27,38,.711,7,41,34,5,2,21,28
69,69,1998-03-24,@,GSW,W,88,75,38,75,.507,5,15,.333,7,7,1.000,6,33,33,13,8,16,14,,31,72,.431,1,3,.333,12,16,.750,14,40,20,7,0,21,13
70,70,1998-03-25,@,LAC,W,77,76,33,85,.388,4,11,.364,7,8,.875,11,46,17,8,1,14,16,,31,81,.383,5,17,.294,9,15,.600,11,45,17,6,6,17,9
71,71,1998-03-27,@,VAN,W,97,89,37,80,.463,3,12,.250,20,26,.769,15,47,23,7,0,19,19,,33,83,.398,2,11,.182,21,26,.808,14,43,26,14,5,14,23
72,72,1998-03-28,@,SEA,L,78,104,33,78,.423,4,13,.308,8,11,.727,14,39,20,10,0,21,18,,43,79,.544,11,21,.524,7,10,.700,8,34,30,13,6,17,14
73,73,1998-03-31,,SAS,L,78,95,36,82,.439,2,13,.154,4,7,.571,11,33,25,6,1,7,22,,35,72,.486,5,10,.500,20,29,.690,14,47,20,6,6,12,14
74,74,1998-04-02,,LAC,W,81,70,33,79,.418,3,8,.375,12,13,.923,8,37,22,12,1,13,15,,25,70,.357,5,20,.250,15,18,.833,6,39,13,9,6,18,14
75,75,1998-04-04,@,NJN,L,94,97,34,70,.486,6,14,.429,20,24,.833,8,30,19,5,2,17,23,,41,77,.532,0,5,.000,15,18,.833,7,36,18,12,5,13,22
76,76,1998-04-05,@,BOS,L,92,102,35,76,.461,3,10,.300,19,25,.760,9,40,18,16,3,22,22,,37,78,.474,7,16,.438,21,30,.700,10,39,29,15,4,19,21
77,77,1998-04-07,@,ATL,L,79,92,33,82,.402,5,11,.455,8,9,.889,10,37,25,3,5,7,31,,31,71,.437,1,12,.083,29,44,.659,12,47,13,4,8,5,17
78,78,1998-04-08,,MIA,W,83,80,29,79,.367,3,16,.188,22,26,.846,12,47,21,7,1,12,23,,29,72,.403,5,17,.294,17,25,.680,8,41,24,5,2,15,27
79,79,1998-04-12,@,MIA,L,81,82,31,79,.392,3,10,.300,16,19,.842,8,42,17,6,1,11,29,,27,70,.386,5,23,.217,23,34,.676,5,43,15,5,4,12,25
80,80,1998-04-14,,WAS,L,102,104,34,80,.425,3,12,.250,31,34,.912,13,37,19,9,2,15,29,,37,71,.521,7,12,.583,23,40,.575,12,42,26,8,6,18,28
81,81,1998-04-16,,TOR,W,108,79,45,96,.469,5,9,.556,13,19,.684,20,59,25,8,2,13,19,,25,76,.329,4,19,.211,25,32,.781,9,41,12,8,4,14,21
82,82,1998-04-18,@,CHI,L,109,111,47,88,.534,2,12,.167,13,18,.722,11,38,31,5,3,11,29,,34,77,.442,2,11,.182,41,49,.837,8,35,26,5,4,8,18
